geo,edad,Año,valor
Luxembourg,Y20-64,2008,4.9
Latvia,Y20-64,2008,7.6
North Macedonia,Y20-64,2008,33.3
Malta,Y20-64,2008,4.9
Netherlands,Y20-64,2008,3.1
Norway,Y20-64,2008,2
Poland,Y20-64,2008,7
Portugal,Y20-64,2008,7.7
Romania,Y20-64,2008,5.6
Sweden,Y20-64,2008,5.1
Slovenia,Y20-64,2008,4.3
Slovakia,Y20-64,2008,9.2
Turkey,Y20-64,2008,9.4
United Kingdom,Y20-64,2008,4.8
Austria,Y25-29,2008,5.1
Belgium,Y25-29,2008,9
Bulgaria,Y25-29,2008,6.4
Switzerland,Y25-29,2008,3.8
Cyprus,Y25-29,2008,4.8
Czechia,Y25-29,2008,4.1
Germany (until 1990 former territory of the FRG),Y25-29,2008,8.4
Denmark,Y25-29,2008,3.6
Euro area - 19 countries  (from 2015),Y25-29,2008,9.6
Estonia,Y25-29,2008,5.2
Greece,Y25-29,2008,13.1
Spain,Y25-29,2008,13.3
European Union - 27 countries (from 2020),Y25-29,2008,9
European Union - 28 countries (2013-2020),Y25-29,2008,8.6
Finland,Y25-29,2008,6.7
France,Y25-29,2008,8.9
Croatia,Y25-29,2008,10.2
Hungary,Y25-29,2008,9
Ireland,Y25-29,2008,7.6
Iceland,Y25-29,2008,
Italy,Y25-29,2008,11.1
Lithuania,Y25-29,2008,6.1
Luxembourg,Y25-29,2008,10.8
Latvia,Y25-29,2008,8.5
North Macedonia,Y25-29,2008,40.3
Malta,Y25-29,2008,4.7
Netherlands,Y25-29,2008,2.7
Norway,Y25-29,2008,3.5
Poland,Y25-29,2008,8.2
Portugal,Y25-29,2008,10.8
Romania,Y25-29,2008,6.7
Sweden,Y25-29,2008,6.7
Slovenia,Y25-29,2008,6.5
Slovakia,Y25-29,2008,10.5
Turkey,Y25-29,2008,11.8
United Kingdom,Y25-29,2008,5.7
Austria,Y25-54,2008,3.6
Belgium,Y25-54,2008,6.1
Bulgaria,Y25-54,2008,4.9
Switzerland,Y25-54,2008,2.9
Cyprus,Y25-54,2008,3.2
Czechia,Y25-54,2008,4
Germany (until 1990 former territory of the FRG),Y25-54,2008,7
Denmark,Y25-54,2008,2.7
Euro area - 19 countries  (from 2015),Y25-54,2008,6.7
Estonia,Y25-54,2008,4.9
Greece,Y25-54,2008,7.2
Spain,Y25-54,2008,10.1
European Union - 27 countries (from 2020),Y25-54,2008,6.4
European Union - 28 countries (2013-2020),Y25-54,2008,6.1
Finland,Y25-54,2008,4.9
France,Y25-54,2008,6
Croatia,Y25-54,2008,7.2
Hungary,Y25-54,2008,7.2
Ireland,Y25-54,2008,5.7
Iceland,Y25-54,2008,1.9
Italy,Y25-54,2008,6
Lithuania,Y25-54,2008,5.2
Luxembourg,Y25-54,2008,4.2
Latvia,Y25-54,2008,7.4
North Macedonia,Y25-54,2008,31
Malta,Y25-54,2008,4.9
Netherlands,Y25-54,2008,2.5
Norway,Y25-54,2008,1.9
Poland,Y25-54,2008,6.1
Portugal,Y25-54,2008,7.2
Romania,Y25-54,2008,5
Sweden,Y25-54,2008,4.3
Slovenia,Y25-54,2008,3.7
Slovakia,Y25-54,2008,8.7
Turkey,Y25-54,2008,8.3
United Kingdom,Y25-54,2008,4.2
Austria,Y55-64,2008,2.2
Belgium,Y55-64,2008,4.4
Bulgaria,Y55-64,2008,5.5
Switzerland,Y55-64,2008,2.6
Cyprus,Y55-64,2008,3.2
Czechia,Y55-64,2008,3.9
Germany (until 1990 former territory of the FRG),Y55-64,2008,8.5
Denmark,Y55-64,2008,2.5
Euro area - 19 countries  (from 2015),Y55-64,2008,5.8
Estonia,Y55-64,2008,4.1
Greece,Y55-64,2008,3.2
Spain,Y55-64,2008,7.4
European Union - 27 countries (from 2020),Y55-64,2008,5.4
European Union - 28 countries (2013-2020),Y55-64,2008,5.1
Finland,Y55-64,2008,5.4
France,Y55-64,2008,4
Croatia,Y55-64,2008,5.5
Hungary,Y55-64,2008,5.1
Ireland,Y55-64,2008,3.4
Iceland,Y55-64,2008,
Italy,Y55-64,2008,3.1
Lithuania,Y55-64,2008,4.4
Luxembourg,Y55-64,2008,
Latvia,Y55-64,2008,6.3
North Macedonia,Y55-64,2008,28.5
Malta,Y55-64,2008,3.9
Netherlands,Y55-64,2008,3.9
Norway,Y55-64,2008,1
Poland,Y55-64,2008,5.3
Portugal,Y55-64,2008,6.6
Romania,Y55-64,2008,2.5
Sweden,Y55-64,2008,3.8
Slovenia,Y55-64,2008,4
Slovakia,Y55-64,2008,6.4
Turkey,Y55-64,2008,4.4
United Kingdom,Y55-64,2008,3.1
Austria,Y15-24,2009,10.7
Belgium,Y15-24,2009,21.9
Bulgaria,Y15-24,2009,16.2
Switzerland,Y15-24,2009,8.5
Cyprus,Y15-24,2009,13.8
Czechia,Y15-24,2009,16.6
Germany (until 1990 former territory of the FRG),Y15-24,2009,11.2
Denmark,Y15-24,2009,13.5
Euro area - 19 countries  (from 2015),Y15-24,2009,20.4
Estonia,Y15-24,2009,27.4
Greece,Y15-24,2009,25.7
Spain,Y15-24,2009,37.7
European Union - 27 countries (from 2020),Y15-24,2009,20.4
European Union - 28 countries (2013-2020),Y15-24,2009,20.2
Finland,Y15-24,2009,21.5
France,Y15-24,2009,22.9
Croatia,Y15-24,2009,25.2
Hungary,Y15-24,2009,26.4
Ireland,Y15-24,2009,24.5
Iceland,Y15-24,2009,15.9
Italy,Y15-24,2009,25.3
Lithuania,Y15-24,2009,29.6
Luxembourg,Y15-24,2009,17.2
Latvia,Y15-24,2009,33.3
North Macedonia,Y15-24,2009,55.1
Malta,Y15-24,2009,14.5
Netherlands,Y15-24,2009,10.2
Norway,Y15-24,2009,9.2
Poland,Y15-24,2009,20.6
Portugal,Y15-24,2009,20.3
Romania,Y15-24,2009,20.8
Sweden,Y15-24,2009,25
Slovenia,Y15-24,2009,13.6
Slovakia,Y15-24,2009,27.3
Turkey,Y15-24,2009,22.8
United Kingdom,Y15-24,2009,19.1
Austria,Y15-74,2009,5.3
Belgium,Y15-74,2009,7.9
Bulgaria,Y15-74,2009,6.8
Switzerland,Y15-74,2009,4.1
Cyprus,Y15-74,2009,5.4
Czechia,Y15-74,2009,6.7
Germany (until 1990 former territory of the FRG),Y15-74,2009,7.8
Denmark,Y15-74,2009,6.4
Euro area - 19 countries  (from 2015),Y15-74,2009,9.6
Estonia,Y15-74,2009,13.5
Greece,Y15-74,2009,9.6
Spain,Y15-74,2009,17.9
European Union - 27 countries (from 2020),Y15-74,2009,9.1
European Union - 28 countries (2013-2020),Y15-74,2009,8.9
Finland,Y15-74,2009,8.2
France,Y15-74,2009,8.7
Croatia,Y15-74,2009,9.2
Hungary,Y15-74,2009,10
Ireland,Y15-74,2009,12.6
Iceland,Y15-74,2009,7.2
Italy,Y15-74,2009,7.8
Lithuania,Y15-74,2009,13.8
Luxembourg,Y15-74,2009,5.1
Latvia,Y15-74,2009,17.5
North Macedonia,Y15-74,2009,32.2
Malta,Y15-74,2009,6.9
Netherlands,Y15-74,2009,4.4
Norway,Y15-74,2009,3.1
Poland,Y15-74,2009,8.2
Portugal,Y15-74,2009,9.6
Romania,Y15-74,2009,6.9
Sweden,Y15-74,2009,8.4
Slovenia,Y15-74,2009,5.9
Slovakia,Y15-74,2009,12
Turkey,Y15-74,2009,12.6
United Kingdom,Y15-74,2009,7.6
Austria,Y20-64,2009,5
Belgium,Y20-64,2009,7.7
Bulgaria,Y20-64,2009,6.6
Switzerland,Y20-64,2009,4
Cyprus,Y20-64,2009,5.4
Czechia,Y20-64,2009,6.5
Germany (until 1990 former territory of the FRG),Y20-64,2009,7.7
Denmark,Y20-64,2009,5.8
Euro area - 19 countries  (from 2015),Y20-64,2009,9.3
Estonia,Y20-64,2009,13.3
Greece,Y20-64,2009,9.5
Spain,Y20-64,2009,17.2
European Union - 27 countries (from 2020),Y20-64,2009,8.9
European Union - 28 countries (2013-2020),Y20-64,2009,8.6
Finland,Y20-64,2009,7.4
France,Y20-64,2009,8.3
Croatia,Y20-64,2009,8.8
Hungary,Y20-64,2009,9.9
Ireland,Y20-64,2009,12
Iceland,Y20-64,2009,6.6
Italy,Y20-64,2009,7.5
Lithuania,Y20-64,2009,13.7
Luxembourg,Y20-64,2009,4.9
Latvia,Y20-64,2009,17.3
North Macedonia,Y20-64,2009,31.7
Malta,Y20-64,2009,5.9
Netherlands,Y20-64,2009,3.8
Norway,Y20-64,2009,2.6
Poland,Y20-64,2009,8.1
Portugal,Y20-64,2009,9.7
Romania,Y20-64,2009,6.7
Sweden,Y20-64,2009,7.3
Slovenia,Y20-64,2009,5.8
Slovakia,Y20-64,2009,11.7
Turkey,Y20-64,2009,12.2
United Kingdom,Y20-64,2009,6.6
Austria,Y25-29,2009,7
Belgium,Y25-29,2009,10.3
Bulgaria,Y25-29,2009,8.1
Switzerland,Y25-29,2009,6.9
Cyprus,Y25-29,2009,6.9
Czechia,Y25-29,2009,8.2
Germany (until 1990 former territory of the FRG),Y25-29,2009,9.3
Denmark,Y25-29,2009,8.3
Euro area - 19 countries  (from 2015),Y25-29,2009,12.7
Estonia,Y25-29,2009,15
Greece,Y25-29,2009,15.1
Spain,Y25-29,2009,21.7
European Union - 27 countries (from 2020),Y25-29,2009,11.9
European Union - 28 countries (2013-2020),Y25-29,2009,11.4
Finland,Y25-29,2009,9.7
France,Y25-29,2009,11.3
Croatia,Y25-29,2009,12.2
Hungary,Y25-29,2009,12.1
Ireland,Y25-29,2009,15.1
Iceland,Y25-29,2009,10.7
Italy,Y25-29,2009,13.3
Lithuania,Y25-29,2009,15.1
Luxembourg,Y25-29,2009,6.7
Latvia,Y25-29,2009,19.5
North Macedonia,Y25-29,2009,37.7
Malta,Y25-29,2009,5.2
Netherlands,Y25-29,2009,3.8
Norway,Y25-29,2009,3.6
Poland,Y25-29,2009,9.8
Portugal,Y25-29,2009,12.1
Romania,Y25-29,2009,8.4
Sweden,Y25-29,2009,9.6
Slovenia,Y25-29,2009,10.1
Slovakia,Y25-29,2009,13.7
Turkey,Y25-29,2009,15.7
United Kingdom,Y25-29,2009,8.3
Austria,Y25-54,2009,4.7
Belgium,Y25-54,2009,6.8
Bulgaria,Y25-54,2009,6
Switzerland,Y25-54,2009,3.7
Cyprus,Y25-54,2009,4.6
Czechia,Y25-54,2009,5.9
Germany (until 1990 former territory of the FRG),Y25-54,2009,7.3
Denmark,Y25-54,2009,5.4
Euro area - 19 countries  (from 2015),Y25-54,2009,8.7
Estonia,Y25-54,2009,12.8
Greece,Y25-54,2009,9
Spain,Y25-54,2009,16.3
European Union - 27 countries (from 2020),Y25-54,2009,8.2
European Union - 28 countries (2013-2020),Y25-54,2009,7.9
Finland,Y25-54,2009,6.6
France,Y25-54,2009,7.3
Croatia,Y25-54,2009,8
Hungary,Y25-54,2009,9.1
Ireland,Y25-54,2009,11
Iceland,Y25-54,2009,6.1
Italy,Y25-54,2009,6.9
Lithuania,Y25-54,2009,12.7
Luxembourg,Y25-54,2009,4.2
Latvia,Y25-54,2009,16.2
North Macedonia,Y25-54,2009,29.6
Malta,Y25-54,2009,5.3
Netherlands,Y25-54,2009,3.2
Norway,Y25-54,2009,2.4
Poland,Y25-54,2009,6.9
Portugal,Y25-54,2009,9.2
Romania,Y25-54,2009,6.1
Sweden,Y25-54,2009,6.2
Slovenia,Y25-54,2009,5.3
Slovakia,Y25-54,2009,10.8
Turkey,Y25-54,2009,11.1
United Kingdom,Y25-54,2009,5.8
Austria,Y55-64,2009,2.7
Belgium,Y55-64,2009,5.1
Bulgaria,Y55-64,2009,6.3
Switzerland,Y55-64,2009,2.7
Cyprus,Y55-64,2009,4.3
Czechia,Y55-64,2009,5.7
Germany (until 1990 former territory of the FRG),Y55-64,2009,8
Denmark,Y55-64,2009,4.5
Euro area - 19 countries  (from 2015),Y55-64,2009,6.9
Estonia,Y55-64,2009,9.3
Greece,Y55-64,2009,4.6
Spain,Y55-64,2009,12.1
European Union - 27 countries (from 2020),Y55-64,2009,6.5
European Union - 28 countries (2013-2020),Y55-64,2009,6.2
Finland,Y55-64,2009,6.2
France,Y55-64,2009,5.4
Croatia,Y55-64,2009,5.8
Hungary,Y55-64,2009,6.5
Ireland,Y55-64,2009,6.6
Iceland,Y55-64,2009,3.7
Italy,Y55-64,2009,3.4
Lithuania,Y55-64,2009,10.5
Luxembourg,Y55-64,2009,3
Latvia,Y55-64,2009,13.8
North Macedonia,Y55-64,2009,26.3
Malta,Y55-64,2009,5.8
Netherlands,Y55-64,2009,3.7
Norway,Y55-64,2009,1.1
Poland,Y55-64,2009,6.3
Portugal,Y55-64,2009,7.6
Romania,Y55-64,2009,3
Sweden,Y55-64,2009,5.3
Slovenia,Y55-64,2009,3.6
Slovakia,Y55-64,2009,7.7
Turkey,Y55-64,2009,5.6
United Kingdom,Y55-64,2009,4.6
Austria,Y15-24,2010,9.5
Belgium,Y15-24,2010,22.4
Bulgaria,Y15-24,2010,21.9
Switzerland,Y15-24,2010,8.2
Cyprus,Y15-24,2010,16.6
Czechia,Y15-24,2010,18.3
Germany (until 1990 former territory of the FRG),Y15-24,2010,9.8
Denmark,Y15-24,2010,15.6
Euro area - 19 countries  (from 2015),Y15-24,2010,21.2
Estonia,Y15-24,2010,32.9
Greece,Y15-24,2010,33
Spain,Y15-24,2010,41.5
European Union - 27 countries (from 2020),Y15-24,2010,21.5
European Union - 28 countries (2013-2020),Y15-24,2010,21.2
Finland,Y15-24,2010,21.4
France,Y15-24,2010,22.5
Croatia,Y15-24,2010,32.4
Hungary,Y15-24,2010,26.4
Ireland,Y15-24,2010,28.1
Iceland,Y15-24,2010,16.2
Italy,Y15-24,2010,27.9
Lithuania,Y15-24,2010,35.7
Luxembourg,Y15-24,2010,14.2
Latvia,Y15-24,2010,36.2
North Macedonia,Y15-24,2010,53.7
Malta,Y15-24,2010,13.2
Netherlands,Y15-24,2010,11.1
Norway,Y15-24,2010,9.3
Poland,Y15-24,2010,23.7
Portugal,Y15-24,2010,22.8
Romania,Y15-24,2010,22.1
Serbia,Y15-24,2010,46.3
Sweden,Y15-24,2010,24.8
Slovenia,Y15-24,2010,14.7
Slovakia,Y15-24,2010,33.6
Turkey,Y15-24,2010,19.7
United Kingdom,Y15-24,2010,19.9
Austria,Y15-74,2010,4.8
Belgium,Y15-74,2010,8.3
Bulgaria,Y15-74,2010,10.3
Switzerland,Y15-74,2010,4.8
Cyprus,Y15-74,2010,6.3
Czechia,Y15-74,2010,7.3
Germany (until 1990 former territory of the FRG),Y15-74,2010,7
Denmark,Y15-74,2010,7.7
Euro area - 19 countries  (from 2015),Y15-74,2010,10.1
Estonia,Y15-74,2010,16.7
Greece,Y15-74,2010,12.7
Spain,Y15-74,2010,19.9
European Union - 27 countries (from 2020),Y15-74,2010,9.8
European Union - 28 countries (2013-2020),Y15-74,2010,9.6
Finland,Y15-74,2010,8.4
France,Y15-74,2010,8.9
Croatia,Y15-74,2010,11.7
Hungary,Y15-74,2010,11.2
Ireland,Y15-74,2010,14.6
Iceland,Y15-74,2010,7.6
Italy,Y15-74,2010,8.4
Lithuania,Y15-74,2010,17.8
Luxembourg,Y15-74,2010,4.4
Latvia,Y15-74,2010,19.5
North Macedonia,Y15-74,2010,32
Malta,Y15-74,2010,6.9
Netherlands,Y15-74,2010,5
Norway,Y15-74,2010,3.5
Poland,Y15-74,2010,9.7
Portugal,Y15-74,2010,11
Romania,Y15-74,2010,7
Serbia,Y15-74,2010,19.3
Sweden,Y15-74,2010,8.6
Slovenia,Y15-74,2010,7.3
Slovakia,Y15-74,2010,14.4
Turkey,Y15-74,2010,10.7
United Kingdom,Y15-74,2010,7.8
Austria,Y20-64,2010,4.6
Belgium,Y20-64,2010,8
Bulgaria,Y20-64,2010,10
Switzerland,Y20-64,2010,4.7
Cyprus,Y20-64,2010,6.2
Czechia,Y20-64,2010,7.1
Germany (until 1990 former territory of the FRG),Y20-64,2010,7
Denmark,Y20-64,2010,7.1
Euro area - 19 countries  (from 2015),Y20-64,2010,9.9
Estonia,Y20-64,2010,16.7
Greece,Y20-64,2010,12.7
Spain,Y20-64,2010,19.3
European Union - 27 countries (from 2020),Y20-64,2010,9.6
European Union - 28 countries (2013-2020),Y20-64,2010,9.2
Finland,Y20-64,2010,7.6
France,Y20-64,2010,8.5
Croatia,Y20-64,2010,11.1
Hungary,Y20-64,2010,11.1
Ireland,Y20-64,2010,14
Iceland,Y20-64,2010,6.8
Italy,Y20-64,2010,8.1
Lithuania,Y20-64,2010,17.8
Luxembourg,Y20-64,2010,4.2
Latvia,Y20-64,2010,19.3
North Macedonia,Y20-64,2010,31.6
Malta,Y20-64,2010,6
Netherlands,Y20-64,2010,4.4
Norway,Y20-64,2010,3.1
Poland,Y20-64,2010,9.5
Portugal,Y20-64,2010,11.1
Romania,Y20-64,2010,7
Serbia,Y20-64,2010,19.5
Sweden,Y20-64,2010,7.6
Slovenia,Y20-64,2010,7.3
Slovakia,Y20-64,2010,14
Turkey,Y20-64,2010,10.5
United Kingdom,Y20-64,2010,6.8
Austria,Y25-29,2010,6.5
Belgium,Y25-29,2010,11.6
Bulgaria,Y25-29,2010,12.7
Switzerland,Y25-29,2010,6.6
Cyprus,Y25-29,2010,8.7
Czechia,Y25-29,2010,9.4
Germany (until 1990 former territory of the FRG),Y25-29,2010,8.4
Denmark,Y25-29,2010,11.2
Euro area - 19 countries  (from 2015),Y25-29,2010,13.8
Estonia,Y25-29,2010,17.7
Greece,Y25-29,2010,19.7
Spain,Y25-29,2010,24.7
European Union - 27 countries (from 2020),Y25-29,2010,13.2
European Union - 28 countries (2013-2020),Y25-29,2010,12.5
Finland,Y25-29,2010,9.2
France,Y25-29,2010,11.8
Croatia,Y25-29,2010,16.8
Hungary,Y25-29,2010,14.2
Ireland,Y25-29,2010,17.5
Iceland,Y25-29,2010,9.4
Italy,Y25-29,2010,14.8
Lithuania,Y25-29,2010,20.8
Luxembourg,Y25-29,2010,5.3
Latvia,Y25-29,2010,21.2
North Macedonia,Y25-29,2010,39.4
Malta,Y25-29,2010,6.3
Netherlands,Y25-29,2010,4.5
Norway,Y25-29,2010,5.3
Poland,Y25-29,2010,12
Portugal,Y25-29,2010,14.6
Romania,Y25-29,2010,9.6
Serbia,Y25-29,2010,32.4
Sweden,Y25-29,2010,10
Slovenia,Y25-29,2010,13
Slovakia,Y25-29,2010,16.7
Turkey,Y25-29,2010,13.3
United Kingdom,Y25-29,2010,8.2
Austria,Y25-54,2010,4.4
Belgium,Y25-54,2010,7.3
Bulgaria,Y25-54,2010,9.4
Switzerland,Y25-54,2010,4.5
Cyprus,Y25-54,2010,5.4
Czechia,Y25-54,2010,6.4
Germany (until 1990 former territory of the FRG),Y25-54,2010,6.5
Denmark,Y25-54,2010,6.7
Euro area - 19 countries  (from 2015),Y25-54,2010,9.3
Estonia,Y25-54,2010,15.1
Greece,Y25-54,2010,12.1
Spain,Y25-54,2010,18.4
European Union - 27 countries (from 2020),Y25-54,2010,8.9
European Union - 28 countries (2013-2020),Y25-54,2010,8.6
Finland,Y25-54,2010,6.8
France,Y25-54,2010,7.6
Croatia,Y25-54,2010,10.2
Hungary,Y25-54,2010,10.4
Ireland,Y25-54,2010,13
Iceland,Y25-54,2010,6.3
Italy,Y25-54,2010,7.5
Lithuania,Y25-54,2010,16.7
Luxembourg,Y25-54,2010,3.9
Latvia,Y25-54,2010,18
North Macedonia,Y25-54,2010,29.7
Malta,Y25-54,2010,5.9
Netherlands,Y25-54,2010,3.8
Norway,Y25-54,2010,3
Poland,Y25-54,2010,8.3
Portugal,Y25-54,2010,10.7
Romania,Y25-54,2010,6.3
Serbia,Y25-54,2010,18.7
Sweden,Y25-54,2010,6.5
Slovenia,Y25-54,2010,7
Slovakia,Y25-54,2010,12.8
Turkey,Y25-54,2010,9.4
United Kingdom,Y25-54,2010,6.1
Austria,Y55-64,2010,2.5
Belgium,Y55-64,2010,4.6
Bulgaria,Y55-64,2010,9
Switzerland,Y55-64,2010,3.5
Cyprus,Y55-64,2010,4.7
Czechia,Y55-64,2010,6.5
Germany (until 1990 former territory of the FRG),Y55-64,2010,7.6
Denmark,Y55-64,2010,5.7
Euro area - 19 countries  (from 2015),Y55-64,2010,7.4
Estonia,Y55-64,2010,16.3
Greece,Y55-64,2010,6.2
Spain,Y55-64,2010,14.2
European Union - 27 countries (from 2020),Y55-64,2010,7.1
European Union - 28 countries (2013-2020),Y55-64,2010,6.8
Finland,Y55-64,2010,6.5
France,Y55-64,2010,5.8
Croatia,Y55-64,2010,6.5
Hungary,Y55-64,2010,7.9
Ireland,Y55-64,2010,8.8
Iceland,Y55-64,2010,4.4
Italy,Y55-64,2010,3.6
Lithuania,Y55-64,2010,14.4
Luxembourg,Y55-64,2010,
Latvia,Y55-64,2010,16
North Macedonia,Y55-64,2010,27.8
Malta,Y55-64,2010,4.2
Netherlands,Y55-64,2010,4.4
Norway,Y55-64,2010,1.4
Poland,Y55-64,2010,7.1
Portugal,Y55-64,2010,8.9
Romania,Y55-64,2010,3.3
Serbia,Y55-64,2010,11.8
Sweden,Y55-64,2010,5.8
Slovenia,Y55-64,2010,4
Slovakia,Y55-64,2010,10.1
Turkey,Y55-64,2010,5
United Kingdom,Y55-64,2010,4.7
Austria,Y15-24,2011,8.9
Belgium,Y15-24,2011,18.7
Bulgaria,Y15-24,2011,25
Switzerland,Y15-24,2011,7.7
Cyprus,Y15-24,2011,22.4
Czechia,Y15-24,2011,18.1
Germany (until 1990 former territory of the FRG),Y15-24,2011,8.5
Denmark,Y15-24,2011,16.4
Euro area - 19 countries  (from 2015),Y15-24,2011,21.2
Estonia,Y15-24,2011,22.4
Greece,Y15-24,2011,44.7
Spain,Y15-24,2011,46.2
European Union - 27 countries (from 2020),Y15-24,2011,21.8
European Union - 28 countries (2013-2020),Y15-24,2011,21.7
Finland,Y15-24,2011,20.1
France,Y15-24,2011,21.9
Croatia,Y15-24,2011,36.7
Hungary,Y15-24,2011,26
Ireland,Y15-24,2011,29.6
Iceland,Y15-24,2011,14.4
Italy,Y15-24,2011,29.2
Lithuania,Y15-24,2011,32.6
Luxembourg,Y15-24,2011,16.8
Latvia,Y15-24,2011,31
Montenegro,Y15-24,2011,36.6
North Macedonia,Y15-24,2011,55.3
Malta,Y15-24,2011,13.3
Netherlands,Y15-24,2011,10
Norway,Y15-24,2011,8.7
Poland,Y15-24,2011,25.8
Portugal,Y15-24,2011,30.3
Romania,Y15-24,2011,23.9
Serbia,Y15-24,2011,50.9
Sweden,Y15-24,2011,22.8
Slovenia,Y15-24,2011,15.7
Slovakia,Y15-24,2011,33.4
Turkey,Y15-24,2011,16.7
United Kingdom,Y15-24,2011,21.3
Austria,Y15-74,2011,4.6
Belgium,Y15-74,2011,7.2
Bulgaria,Y15-74,2011,11.3
Switzerland,Y15-74,2011,4.4
Cyprus,Y15-74,2011,7.9
Czechia,Y15-74,2011,6.7
Germany (until 1990 former territory of the FRG),Y15-74,2011,5.8
Denmark,Y15-74,2011,7.8
Euro area - 19 countries  (from 2015),Y15-74,2011,10.2
Estonia,Y15-74,2011,12.3
Greece,Y15-74,2011,17.9
Spain,Y15-74,2011,21.4
European Union - 27 countries (from 2020),Y15-74,2011,9.9
European Union - 28 countries (2013-2020),Y15-74,2011,9.6
Finland,Y15-74,2011,7.8
France,Y15-74,2011,8.8
Croatia,Y15-74,2011,13.7
Hungary,Y15-74,2011,11
Ireland,Y15-74,2011,15.4
Iceland,Y15-74,2011,7
Italy,Y15-74,2011,8.4
Lithuania,Y15-74,2011,15.4
Luxembourg,Y15-74,2011,4.9
Latvia,Y15-74,2011,16.2
Montenegro,Y15-74,2011,19.7
North Macedonia,Y15-74,2011,31.4
Malta,Y15-74,2011,6.4
Netherlands,Y15-74,2011,5
Norway,Y15-74,2011,3.2
Poland,Y15-74,2011,9.7
Portugal,Y15-74,2011,12.9
Romania,Y15-74,2011,7.2
Serbia,Y15-74,2011,23.1
Sweden,Y15-74,2011,7.8
Slovenia,Y15-74,2011,8.2
Slovakia,Y15-74,2011,13.6
Turkey,Y15-74,2011,8.8
United Kingdom,Y15-74,2011,8.1
Austria,Y20-64,2011,4.3
Belgium,Y20-64,2011,6.9
Bulgaria,Y20-64,2011,11
Switzerland,Y20-64,2011,4.3
Cyprus,Y20-64,2011,7.8
Czechia,Y20-64,2011,6.5
Germany (until 1990 former territory of the FRG),Y20-64,2011,5.8
Denmark,Y20-64,2011,7
Euro area - 19 countries  (from 2015),Y20-64,2011,9.9
Estonia,Y20-64,2011,12.2
Greece,Y20-64,2011,17.8
Spain,Y20-64,2011,20.9
European Union - 27 countries (from 2020),Y20-64,2011,9.6
European Union - 28 countries (2013-2020),Y20-64,2011,9.3
Finland,Y20-64,2011,7.1
France,Y20-64,2011,8.5
Croatia,Y20-64,2011,13.2
Hungary,Y20-64,2011,11
Ireland,Y20-64,2011,14.9
Iceland,Y20-64,2011,6.4
Italy,Y20-64,2011,8.1
Lithuania,Y20-64,2011,15.4
Luxembourg,Y20-64,2011,4.8
Latvia,Y20-64,2011,16.1
Montenegro,Y20-64,2011,19.6
North Macedonia,Y20-64,2011,31
Malta,Y20-64,2011,5.6
Netherlands,Y20-64,2011,4.4
Norway,Y20-64,2011,2.9
Poland,Y20-64,2011,9.5
Portugal,Y20-64,2011,12.8
Romania,Y20-64,2011,7.2
Serbia,Y20-64,2011,23.1
Sweden,Y20-64,2011,6.9
Slovenia,Y20-64,2011,8.2
Slovakia,Y20-64,2011,13.2
Turkey,Y20-64,2011,8.6
United Kingdom,Y20-64,2011,7
Austria,Y25-29,2011,5.8
Belgium,Y25-29,2011,9.9
Bulgaria,Y25-29,2011,15
Switzerland,Y25-29,2011,6.2
Cyprus,Y25-29,2011,10
Czechia,Y25-29,2011,7.9
Germany (until 1990 former territory of the FRG),Y25-29,2011,6.9
Denmark,Y25-29,2011,11.2
Euro area - 19 countries  (from 2015),Y25-29,2011,13.9
Estonia,Y25-29,2011,13.7
Greece,Y25-29,2011,29.4
Spain,Y25-29,2011,26.3
European Union - 27 countries (from 2020),Y25-29,2011,13.3
European Union - 28 countries (2013-2020),Y25-29,2011,12.7
Finland,Y25-29,2011,8.9
France,Y25-29,2011,12.3
Croatia,Y25-29,2011,22.5
Hungary,Y25-29,2011,12.6
Ireland,Y25-29,2011,20.3
Iceland,Y25-29,2011,8.5
Italy,Y25-29,2011,14.4
Lithuania,Y25-29,2011,15.7
Luxembourg,Y25-29,2011,6.3
Latvia,Y25-29,2011,16.6
Montenegro,Y25-29,2011,29.8
North Macedonia,Y25-29,2011,40.6
Malta,Y25-29,2011,5.7
Netherlands,Y25-29,2011,4.6
Norway,Y25-29,2011,4.9
Poland,Y25-29,2011,12
Portugal,Y25-29,2011,16
Romania,Y25-29,2011,9.6
Serbia,Y25-29,2011,35.6
Sweden,Y25-29,2011,8.6
Slovenia,Y25-29,2011,14.2
Slovakia,Y25-29,2011,16.8
Turkey,Y25-29,2011,11.3
United Kingdom,Y25-29,2011,8.9
Austria,Y25-54,2011,4
Belgium,Y25-54,2011,6.4
Bulgaria,Y25-54,2011,10.5
Switzerland,Y25-54,2011,4.1
Cyprus,Y25-54,2011,6.8
Czechia,Y25-54,2011,5.9
Germany (until 1990 former territory of the FRG),Y25-54,2011,5.4
Denmark,Y25-54,2011,6.5
Euro area - 19 countries  (from 2015),Y25-54,2011,9.4
Estonia,Y25-54,2011,11.5
Greece,Y25-54,2011,17.2
Spain,Y25-54,2011,19.9
European Union - 27 countries (from 2020),Y25-54,2011,9
European Union - 28 countries (2013-2020),Y25-54,2011,8.7
Finland,Y25-54,2011,6.1
France,Y25-54,2011,7.7
Croatia,Y25-54,2011,12.4
Hungary,Y25-54,2011,10.2
Ireland,Y25-54,2011,14.1
Iceland,Y25-54,2011,5.6
